id_loja,cod,varejista,tipo,cep,lat_long,nl,uf
1,34281297147541,RETAILER 4,STORE TYPE 14,37912,"36.01,-83.98",Drogaria Saúde,AM
2,773722128207790,RETAILER 1,STORE TYPE 24,74072,"36.95,-95.53",Farmácia TopSaúde,RJ
3,1488252046285987,RETAILER 6,STORE TYPE 16,92123,"32.81,-117.13",Farmácia Boa Saúde,PA
4,1705254657447106,RETAILER 1,STORE TYPE 24,41222,"37.76,-82.86",Farmácia Econômica,CE
5,2539921032015633,RETAILER 1,STORE TYPE 24,53090,"43.46,-88.19",Farmácia Boa Saúde,TO
6,3273927263807052,RETAILER 6,STORE TYPE 23,71301,"31.27,-92.47",Drogaria Central,SC
7,3516635388850478,RETAILER 6,STORE TYPE 23,39083,"31.84,-90.48",Drogaria Saúde,PA
8,3778099116897859,RETAILER 6,STORE TYPE 23,30004,"34.15,-84.29",Drogaria Saúde,RS
9,4606943654902793,RETAILER 6,STORE TYPE 23,16407,"41.92,-79.66",Drogaria Brasil,BA
10,4684719572599868,RETAILER 1,STORE TYPE 15,37690,"36.25,-82.56",Farmácia Econômica,AP
11,4790405642195864,RETAILER 1,STORE TYPE 24,48079,"42.86,-82.55",Drogaria Central,MT
12,5078684149305357,RETAILER 1,STORE TYPE 18,37098,"35.87,-87.32",Farmácia Bem Estar,RS
13,5343416329792134,RETAILER 1,STORE TYPE 24,72956,"35.47,-94.35",Farmácia Boa Saúde,RN
14,6459072362165703,RETAILER 4,STORE TYPE 14,33803,"28.01,-81.93",Drogaria Central,SC
15,7075747734972712,RETAILER 6,STORE TYPE 23,30349,"33.62,-84.52",Drogaria Esperança,PI
16,7208323057658002,RETAILER 1,STORE TYPE 18,12027,"42.94,-73.91",Drogaria Brasil,AC
17,7375683394259060,RETAILER 6,STORE TYPE 23,74960,"35.81,-94.65",Farmácia do Povo,AL
18,8298363304598913,RETAILER 1,STORE TYPE 24,38901,"33.76,-89.80",Drogaria Central,BA
19,9289436375333127,RETAILER 1,STORE TYPE 24,65270,"39.41,-92.39",Drogaria Viva,PR
20,9663953423532424,RETAILER 1,STORE TYPE 24,73538,"34.75,-98.43",Farmácia do Povo,MG
